Date,BA,DAL,MGM,WYNN,Tesla,Gamestop,AAPL,AMZN,BRK.A,MSFT,BTC,ETH
2020-03-17,124.03,31.74,9.54,54.34,430.0,4.23,252.85,1807.38,280619.12,146.57,5225.629395,113.94274899999999
2020-03-18,101.89,23.485,7.14,43.02,361.6,3.78,249.0,1832.39,258927.0,142.13,5238.4384770000015,114.84227
2020-03-19,97.71,21.5,7.7,46.57,427.295,4.19,244.78,1880.5,261690.0,142.67,6191.192871,136.593857
2020-03-20,95.01,21.35,9.11,51.97,427.53,3.755,228.74,1846.09,254600.0,136.77,6198.77832,132.737167
2020-03-23,105.49,22.23,9.15,57.56,434.29,3.81,223.43,1902.54,242000.0,135.56,6416.314941,134.911606
2020-03-24,127.5,26.89,12.185,66.54,504.3,4.195,246.88,1940.0,267090.0,148.34,6734.803711,138.76144399999998
2020-03-25,158.68,31.14,12.945,75.06,539.175,4.2,245.465,1885.78,269409.75,146.85,6681.062988000002,136.195892
2020-03-26,180.4,31.7,13.41,71.4,528.05,4.405,258.48,1955.225,276095.0,156.11,6716.44043,138.361557
2020-03-27,161.99,29.55,12.18,63.31,514.56,4.2101,247.62,1899.92,269350.0,149.61,6469.79834,133.937943
2020-03-30,152.27,28.67,11.53,61.06,502.1,3.65,254.79,1964.78,275052.5,160.3,6429.841797,132.904541
2020-03-31,149.12,28.53,11.805,60.19,524.48,3.525,254.3,1949.79,274010.0,157.64,6438.644531,133.59356699999998
2020-04-01,130.62,23.83,11.76,54.0,481.58,3.25,240.76,1906.58,264000.0,151.94,6606.776367,135.634552
2020-04-02,123.13,22.69,11.5066,52.6001,454.47,2.86,244.93,1918.83,269905.0,155.26,6793.624512,142.029144
2020-04-03,124.64,22.48,10.575,48.43,480.0,2.795,241.43,1906.6,267551.1,153.8201,6733.387206999999,142.091309
2020-04-06,148.43,22.31,12.9,56.73,516.24,3.08,262.285,1998.49,277260.0,165.27,7271.78125,169.13588000000001
2020-04-07,141.51,22.245,13.63,60.94,545.47,3.28,259.385,2011.6,277820.0,163.49,7176.414551000003,165.101944
2020-04-08,146.81,23.24,15.0,69.01,548.7,3.4,266.04,2042.9,286400.0,165.11,7334.098633,172.641739
2020-04-09,151.81,24.395,14.5475,70.65,573.01,3.89,267.96,2042.82,290595.0,165.19,7302.089355,170.807144
2020-04-13,147.44,23.25,13.9,69.3,650.9899,4.75,273.23,2168.01,283000.0,165.51,6845.037598000001,156.279556
2020-04-14,140.99,24.545,15.04,74.4,709.755,5.93,287.07,2283.31,289212.0,173.7,6842.427734000001,157.59638999999999
2020-04-15,145.89,24.3401,14.415,71.86,729.5254,5.265,284.45,2309.27,283250.0,171.94,6642.109863000002,153.28689599999996
2020-04-16,134.1248,22.77,13.81,72.39,745.6545,5.015,286.72,2408.19,281640.0,177.07,7116.804198999997,172.157379
2020-04-20,143.58,23.64,13.53,73.2676,746.35,5.57,276.85,2393.08,282531.0,174.99,6881.9584959999975,172.29716499999995
2020-04-21,136.31,23.04,13.17,70.48,686.72,4.785,268.36,2329.36,275510.0,167.67,6880.323242,172.737701
2020-04-22,135.05,22.53,13.325,70.11,731.0656,4.85,276.67,2370.0,280179.6,173.575,7117.20752,182.599579
2020-04-23,137.61,22.48,13.77,76.05,705.63,4.685,274.87,2399.44,279185.0,171.43,7429.724609000001,185.028671
2020-04-24,129.0,22.41,13.95,76.59,725.0,4.77,282.95,2410.0,279460.0,174.54,7550.9008790000025,189.23693799999998
2020-04-27,128.51,22.16,15.21,82.78,798.92,5.82,283.25,2376.82,281032.0,174.03,7795.601073999997,197.224716
2020-04-28,130.91,24.335,15.81,82.16,769.11,5.62,278.57,2314.08,280660.0,169.79,7807.058594,198.41539
2020-04-29,138.98,27.315,17.45,89.02,799.84,5.99,287.83,2371.88,283800.0,177.3,8801.038086,216.968231
2020-04-30,140.86,25.93,16.822,85.54,781.06,5.73,293.99,2471.5,280891.0,179.22,8658.553711,207.602051
2020-05-01,133.34,24.13,15.0,80.83,701.31,6.05,289.07,2285.94,274152.0,174.5,8864.766602,214.21910099999997
2020-05-04,131.39,22.597,14.775,80.45,761.21,5.46,293.17,2315.99,267400.0,178.84,8912.654297,208.174011
2020-05-05,125.3501,21.71,14.26,79.67,768.06,5.38,297.78,2317.64,264500.0,180.76,9003.070313,206.774399
2020-05-06,121.85,21.01,13.91,79.17,782.45,4.935,300.5,2350.97,259233.84,182.49,9268.761719,204.055786
2020-05-07,128.57,21.67,14.94,79.59,780.215,4.8586,303.75,2367.61,260600.0,183.6078,9951.518555,212.289413
2020-05-08,133.37,22.71,15.59,87.04,819.25,4.96,310.1484,2379.5,265160.0,184.68,9842.666016,212.991577
2020-05-11,128.9,22.02,14.65,82.64,810.48,4.77,315.005,2406.9375,262215.0,186.65,8601.795898,185.91284199999998
2020-05-12,125.27,21.035,13.84,78.68,809.21,4.54,311.51,2357.505,260000.0,182.38,8804.477539,189.3125
2020-05-13,121.5,19.425,12.68,76.85,790.62,4.2,307.68,2366.17,256070.0,179.78,9269.987305,199.193283
2020-05-14,122.44,19.38,13.51,78.3,803.04,4.14,309.7,2391.37,256160.02,180.61,9733.72168,202.949097
2020-05-15,120.0,19.1884,13.85,77.78,799.034,4.23,307.74,2410.41,253905.0,183.39,9328.197266,195.62266499999998
2020-05-18,135.42,21.85,15.3,81.46,813.51,4.57,314.89,2426.38,263205.0,184.9,9726.575195,214.52505499999998
2020-05-19,130.5,21.755,15.15,82.03,808.0,4.44,313.01,2448.59,258700.0,183.5,9729.038086,213.451111
2020-05-20,133.23,22.71,16.4916,86.86,815.46,4.42,319.16,2497.35,264100.0,185.66,9522.981445,210.096741
2020-05-21,138.9613,23.15,15.99,83.17,827.75,4.45,317.04,2448.01,262490.0,183.49,9081.761719,199.88360600000001
2020-05-22,137.55,22.68,15.918,78.25,816.4,4.18,318.89,2436.89,262740.0,183.51,9182.577148,207.169189
2020-05-26,144.79,25.64,17.65,84.89,818.74,4.42,316.84,2423.7,270220.0,181.56,8835.052734,201.902313
2020-05-27,149.51,26.32,18.1,86.89,819.955,4.681,318.08,2409.51,278650.0,181.81,9181.017578,208.863434
2020-05-28,149.79,25.65,17.23,83.17,805.975,4.33,318.15,2401.05,277994.0,181.27,9525.750977,219.840424
2020-05-29,145.845,25.13,17.19,83.32,834.1905,4.06,318.76,2436.53,278040.0,183.96,9439.124023,220.675125
2020-06-01,151.37,26.17,17.8,86.5,897.875,4.14,321.76,2470.12,275800.0,182.86,10167.268555,246.99176
2020-06-02,153.32,26.41,18.2,84.1,881.4,4.18,323.42,2473.3,278850.0,185.0,9529.803711,237.21905499999997
2020-06-03,173.07,28.47,20.27,93.49,882.51,4.45,325.09,2478.4,286368.0,185.36,9656.717773,244.179321
2020-06-04,184.2,32.3898,21.72,95.34,864.27,4.47,322.25,2460.6,288000.0,182.95,9800.636719,244.426392
2020-06-05,205.11,34.1683,21.71,101.6401,885.335,4.14,331.54,2481.415,301000.0,187.5,9665.533203,241.22198500000002
2020-06-08,230.54,36.99,23.77,108.6999,948.45,4.99,333.4402,2522.8,302431.0,188.47,9771.489258,246.309906
2020-06-09,216.885,34.18,22.06,102.82,941.5524,4.955,344.32,2603.39,294000.0,190.07,9795.700195,244.91145299999997
2020-06-10,203.33,31.67,20.505,99.03,1024.974,5.06,352.78,2648.16,287200.0,196.82,9870.094727,247.444946
2020-06-11,170.0,27.222,17.84,89.84,972.41,4.37,336.08,2558.47,267200.0,186.47,9321.78125,231.702667
2020-06-12,179.1401,29.3317,18.58,90.6681,936.25,4.4891,337.655,2566.705,268543.12,188.14,9480.84375,237.49321
2020-06-15,190.99,30.46,19.46,91.96,990.75,4.69,342.99,2572.62,272000.0,189.09,9450.702148,229.92890899999998
2020-06-16,197.84,31.33,19.35,90.43,981.51,4.64,352.26,2615.13,273659.0,193.67,9538.024414,234.41616800000003
2020-06-17,192.46,30.72,18.96,88.69,990.56,4.76,351.2438,2641.72,271300.03,194.2,9480.254883,233.028275
2020-06-18,192.17,30.81,18.58,88.37,1004.02,4.92,351.59,2655.0,271660.0,196.32,9411.84082,232.101166
2020-06-19,186.82,29.52,18.19,86.82,1000.57,4.81,349.55,2671.86,270405.0,195.03,9288.018555,227.13828999999998
2020-06-22,188.41,29.31,17.77,83.29,994.54,4.87,358.93,2712.0,271059.0,200.58,9648.717773,242.533188
2020-06-23,187.75,29.64,18.45,84.59,1001.66,4.84,366.37,2764.42,272350.0,201.889,9629.658203,244.14215099999998
2020-06-24,176.79,27.35,16.93,75.21,960.85,4.41,360.06,2733.49,266340.0,197.84,9313.610352,235.772461
2020-06-25,174.875,28.01,16.7,73.55,985.98,4.46,364.88,2756.16,268236.0,200.36,9264.813477,232.944489
2020-06-26,169.93,26.94,15.7,69.05,960.76,4.38,353.69,2692.87,263754.5,196.33,9162.917969,229.668045
2020-06-29,194.42,28.6,16.82,74.22,1009.89,4.37,362.0,2681.52,265395.0,198.5,9190.854492,228.19487
2020-06-30,183.07,28.04,16.81,74.49,1079.0,4.33,364.6,2756.09,267770.0,203.5,9137.993164,226.315002
2020-07-01,180.31,27.7,16.78,73.79,1119.54,4.44,364.01,2879.2,266910.0,204.66,9228.325195,231.113419
2020-07-02,180.76,27.72,16.86,77.34,1208.8,4.29,364.12,2887.56,268170.0,206.21,9123.410156,229.392197
2020-07-06,187.85,28.45,16.71,76.7,1371.0,4.24,373.81,3057.16,274050.0,210.69,9375.474609,241.510223
2020-07-07,178.95,27.02,16.15,73.42,1389.69,4.09,372.64,3000.12,271447.25,208.24,9252.277344,239.075531
2020-07-08,179.98,27.02,16.28,74.15,1365.8054,4.26,381.44,3081.88,272169.5,212.84,9428.333008,246.67001299999998
2020-07-09,173.26,25.65,16.0,71.16,1393.81,4.21,382.6599,3183.81,268947.0,214.4,9277.967773,243.01596099999998
2020-07-10,178.31,27.11,16.19,74.16,1546.01,4.34,383.52,3203.36,274400.0,213.65,9278.807617,240.98498500000002
2020-07-13,175.62,26.84,16.37,81.27,1494.1,4.26,381.91,3101.55,276268.0,207.1,9243.614258,239.604584
2020-07-14,179.95,26.11,16.17,79.28,1516.385,4.09,388.21,3084.02,285000.0,208.39,9243.213867,240.211487
2020-07-15,187.88,28.61,18.21,86.75,1546.875,4.19,390.91,3008.87,285990.0,208.05,9192.836914,238.423523
2020-07-16,178.76,27.27,17.6,84.61,1500.82,4.17,386.23,2997.82,286410.0,203.92,9132.227539,233.64088399999997
2020-07-17,175.65,27.05,16.81,82.76,1500.45,3.96,385.15,2961.47,286253.0,202.87,9151.392578,232.773087
2020-07-20,174.33,26.21,16.34,79.95,1642.47,3.85,393.43,3195.01,285980.0,211.49,9164.231445,236.15316800000002
2020-07-21,178.51,26.4206,16.69,79.19,1567.58,4.015,388.0,3141.43,288201.0,208.75,9374.887695,245.016724
2020-07-22,179.8,26.25,16.320999999999998,76.11,1590.58,4.12,389.09,3100.23,288130.0,211.7533,9525.363281,262.190643
2020-07-23,176.47,26.78,15.89,73.9,1513.68,4.12,371.56,2987.725,289813.0,202.6,9581.072266,274.689056
2020-07-24,173.79,25.97,15.8,73.41,1415.56,4.03,370.42,3008.92,291869.62,201.3,9536.892578,279.21542400000004
2020-07-27,170.13,25.49,14.95,70.66,1539.91,4.01,379.215,3053.89,288212.0,203.85,10990.873047,321.5140990000001
2020-07-28,171.0,25.92,15.41,73.37,1475.35,3.95,373.04,2999.62,291031.0,201.74,10912.823242,316.65725699999996
2020-07-29,165.96,25.72,16.25,75.23,1499.99,4.06,380.27,3034.27,294500.0,204.06,11100.467773,318.1908870000001
2020-07-30,161.9,24.94,16.645,76.4,1487.42,4.105,384.88,3052.65,291362.0,203.89,11111.213867,334.586639
2020-07-31,158.01,24.98,16.09,72.42,1432.0,4.01,425.19,3164.68,293656.0,205.1,11323.466797,345.55465699999996
2020-08-03,162.24,25.21,16.33,73.04,1484.98,4.15,435.66,3111.42,298775.88,216.54,11246.348633,386.295166
2020-08-04,165.1,25.67,16.71,72.8,1486.25,4.44,438.81,3138.82,300330.0,213.35,11205.892578,389.87548799999996
2020-08-05,174.25,26.5,16.71,71.24,1485.18,4.63,440.339,3205.83,305620.0,212.95,11747.022461,401.590576
2020-08-06,172.24,27.08,18.46,76.52,1489.69,4.43,455.88,3224.35,307622.0,216.35,11779.773438,394.961945
2020-08-07,170.1,27.175,19.03,74.1,1453.1,4.16,444.41,3165.75,314000.0,212.44,11601.472656,379.512848
2020-08-10,179.4,29.33,21.65,81.44,1419.0,4.33,450.94,3149.87,319135.78,208.33,11878.111328,395.887573
2020-08-11,180.165,29.64,21.51,88.29,1374.0,4.36,437.51,3080.67,318976.0,203.33,11410.525391,380.384064
2020-08-12,175.47,29.08,21.14,85.85,1554.4229999999998,4.53,452.24,3161.0,320329.0,209.29,11584.93457,391.02417
2020-08-13,174.775,28.7,21.34,86.67,1620.71,4.64,460.03,3161.02,318114.0,208.72,11784.137695,428.74179100000003
2020-08-14,178.08,28.95,21.82,85.01,1651.5,4.74,459.78,3148.0,316500.0,208.89,11768.871094,437.39782699999995
2020-08-17,172.04,28.02,21.39,83.5,1835.86,4.63,458.39,3181.16,310480.0,210.2492,12254.402344,429.53125
2020-08-18,170.14,27.62,20.95,81.63,1888.11,4.81,462.08,3312.49,312701.0,211.48,11991.233398,423.669312
2020-08-19,169.27,27.69,20.9,81.255,1879.0,4.72,462.825,3260.15,310800.0,209.7,11758.283203,406.463776
2020-08-20,169.65,27.62,20.83,80.28,2001.3,4.61,472.83,3296.05,309649.0,214.55,11878.37207,416.439789
2020-08-21,167.46,27.27,21.16,82.83,2050.0,5.04,497.4,3284.59,311401.0,213.02,11592.489258,389.126343
2020-08-24,178.27,29.8,22.27,86.8,2015.695,4.87,503.79,3307.45,318900.0,213.71,11774.595703,408.144196
2020-08-25,174.64,30.11,22.09,86.18,2024.09,4.98,499.31,3346.05,320200.0,216.4564,11366.134766,384.001038
2020-08-26,171.76,29.96,22.0,84.77,2151.93,5.11,506.19,3442.06,322190.0,221.15,11488.363281,386.466125
2020-08-27,174.13,30.815,22.81,86.51,2239.76,5.25,500.04,3400.7,325570.0,226.57,11323.397461,382.632629
2020-08-28,175.85,31.99,23.87,91.54,2213.52,5.39,498.83,3401.8,328000.0,228.94,11542.5,395.874664
2020-08-31,171.83,30.86,22.5,87.46,498.51,6.69,128.85,3441.91,327280.25,225.06,11680.820313,435.079742
2020-09-01,172.11,30.71,22.77,86.28,475.04,7.66,134.2,3500.47,327560.0,227.32,11970.478516,477.05190999999996
2020-09-02,174.7,31.14,23.715,89.27,447.245,7.71,131.22,3529.34,332840.0,231.46,11414.03418,440.04049699999996
2020-09-03,168.77,31.22,23.07,87.36,407.0,7.81,120.92,3369.17,327900.0,217.3,10245.296875,385.67193599999996
2020-09-04,170.95,31.77,23.52,87.78,417.9307,7.64,120.9,3294.62,327585.0,214.14,10511.813477,388.24115
2020-09-08,161.19,32.54,23.17,82.67,330.02,7.69,112.83,3149.84,327065.6,202.65,10131.516602,337.6021120000001
2020-09-09,160.73,31.75,23.11,82.95,366.21,7.35,117.18,3268.27,329760.0,211.18,10242.347656,351.11001600000014
2020-09-10,157.7,31.79,22.83,83.31,370.5,6.2282,113.48,3176.12,326960.0,205.38,10363.138672,368.101898
2020-09-11,160.23,31.7,22.72,82.12,372.4101,6.0925,112.01,3117.28,327115.0,204.04,10400.915039,374.695587
2020-09-14,165.36,32.8,23.05,83.75,419.765,6.91,115.3599,3102.97,330056.1,205.3,10680.837891,377.26886
2020-09-15,163.5,33.5,23.73,82.28,449.38,7.08,115.55,3153.28,328480.0,208.85,10796.951172,364.839203
2020-09-16,167.5,34.56,23.01,79.68,441.76,8.674808,112.13,3077.14,329735.0,204.94,10974.905273,365.812286
2020-09-17,167.6364,33.93,22.53,79.32,423.43,9.2,110.32,3010.56,326791.0,202.96,10948.990234,389.019226
2020-09-18,161.07,32.85,22.02,77.69,440.9701,9.45,106.6,2952.64,327158.03,200.45,10944.585938,384.364532
2020-09-21,156.36,29.82,21.105,72.35,449.41,8.75,110.13,2962.0,319816.0,202.64,10462.259766,341.7860720000001
2020-09-22,156.8,30.2,21.62,73.415,423.974,10.555,111.8,3129.0,321400.0,207.38,10538.459961,344.503174
2020-09-23,151.2106,29.56,21.38,70.69,380.3885,10.05,107.23,2997.44,314860.0,200.59,10225.864258,320.5855410000001
2020-09-24,146.0,29.0,21.19,71.07,387.63,9.1352,108.2015,3018.58,313135.0,203.18,10745.548828,349.356659
2020-09-25,156.06,29.77,22.095,72.335,407.18,10.02,112.28,3094.65,316049.0,207.77,10702.290039,352.161865
2020-09-28,166.21,31.34,22.64,73.62,421.0602,10.09,115.0,3175.04,320418.0,209.61,10721.327148,354.9505
2020-09-29,163.6,30.61,21.73,70.98,418.99,10.35,114.11,3142.92,315689.94,207.16,10848.830078,359.963409
2020-09-30,165.36,30.58,21.74,71.81,428.97,10.21,115.61,3147.425,319750.0,210.32,10787.618164,360.02236899999997
2020-10-01,168.0147,31.09,21.82,72.07,447.81,9.77,116.8,3222.01,318141.0,212.46,10623.330078,353.231293
2020-10-02,168.1,31.74,21.67,73.21,415.2699,9.39,113.02,3125.93,316940.6,206.18,10585.164063,346.532654
2020-10-05,171.16,32.01,21.56,73.8517,425.5,9.45,116.54,3199.2,318520.0,210.37,10804.000977,354.2771
2020-10-06,159.66,31.06,21.05,74.32,413.7001,9.14,113.16,3099.29,315845.84,205.91,10621.664063,341.0211490000001
2020-10-07,164.55,32.13,21.48,75.05,425.19,9.35,115.05,3192.51,319860.0,209.81,10679.136719,342.119781
2020-10-08,167.92,32.68,21.925,74.31,425.92,13.505,114.97,3190.55,322757.0,210.63,10923.62793,351.455658
2020-10-14,163.23,31.78,21.09,71.73,461.47,12.25,121.29,3363.05,316301.0,220.93,11429.506836,379.484039
2020-10-15,164.23,31.34,21.16,72.69,448.88,13.82,120.7453,3338.62,317707.0,219.66,11495.349609,377.44183300000003
2020-10-16,167.32,31.46,21.25,71.12,439.91,13.31,118.96,3160.0,318434.47,219.65,11322.123047,366.22900400000003
2020-10-19,167.11,31.5,20.81,69.65,430.83,13.91,116.0,3207.3,313500.0,214.24,11742.037109,379.935608
2020-10-20,167.17,31.97,21.4,72.44,421.97,13.86,117.5,3216.26,315620.0,214.56,11916.334961,369.136902
2020-10-21,163.87,31.51,21.42,72.85,422.5,14.095,116.86,3183.6,315360.0,214.785,12823.689453,392.189972
2020-10-22,169.09,33.7301,22.62,76.43,425.9,14.91,115.7737,3177.4,317497.0,214.84,12965.891602,413.77297999999996
2020-10-23,167.38,34.01,23.36,76.6,420.615,15.03,115.04,3204.64,319344.4,216.26,12931.539063,409.76669300000003
2020-10-26,160.81,31.93,22.14,73.53,420.28,13.495,115.06,3207.32,313230.0,210.15,13075.248047,393.888306
2020-10-27,155.24,30.695,21.04,71.83,424.471,12.7,116.53,3287.92,310599.0,213.15,13654.21875,403.99703999999997
2020-10-28,148.17,29.65,20.11,69.01,406.0,11.81,111.15,3162.49,301964.0,202.71,13271.285156,388.650757
2020-10-29,148.22299999999996,30.77,21.27,72.18,410.64,11.73,114.52,3212.79,303021.0,204.39,13437.882813,386.730103
2020-10-30,144.39,30.63,20.57,72.45,388.04,10.4679,108.9,3036.13,303185.0,202.58,13546.522461000002,382.819977
2020-11-02,148.59,30.23,20.97,75.82,400.51,10.75,108.77,3004.48,306282.0,202.32,13550.489258000001,383.15673799999996
2020-11-03,153.67,30.91,21.74,74.57,423.74,11.56,110.375,3046.25,310000.0,206.12,13950.300781,387.602173
2020-11-04,151.64,30.43,21.44,76.12,420.91,10.9,114.94,3241.16,309812.0,216.32,14133.707031,402.141998
2020-11-05,157.09,31.96,21.84,80.175,438.09,11.46,118.99,3322.0,311557.0,223.29,15579.848633000001,414.067352
2020-11-06,157.755,31.43,22.0297,80.05,429.92,11.87,118.685,3310.41,313464.0,223.62,15565.880859,454.71929900000003
2020-11-09,179.36,36.77,25.31,102.34,421.39,11.5,116.32,3141.34,332035.0,218.34,15332.31543,444.163055
2020-11-10,188.74,37.02,24.79,96.73,410.41,11.11,115.97,3035.18,342700.0,211.02,15290.902344,449.679626
2020-11-11,182.32,35.03,23.99,91.66,417.13,11.76,119.51,3136.81,340921.0,216.4,15701.339844,462.96054100000003
2020-11-12,176.77,34.3801,23.69,86.64,411.73,11.14,119.235,3110.2,337299.5,215.47,16276.34375,461.00527999999997
2020-11-13,185.7871,36.52,25.6417,92.22,406.78,11.115,119.49,3134.09,341324.0,217.31,16317.808594,474.62643399999996
2020-11-16,202.4,38.01,26.52,94.75,408.09,12.07,120.35,3132.99,350000.0,217.39,16716.111328,459.940308
2020-11-17,210.02,37.61,26.42,94.3,441.57,11.64,119.36,3135.66,349900.0,214.47,17645.40625,480.36007699999993
2020-11-18,203.2,37.9,26.91,95.66,486.64,11.58,118.0,3105.1,345500.0,210.97,17804.005859,479.48407000000003
2020-11-19,205.56,37.92,27.22,98.75,499.16,12.46,118.64,3114.41,345000.0,212.31,17817.089844,471.63043200000004
2020-11-20,199.62,37.14,26.21,95.31,489.44,12.71,117.32,3099.205,341044.47,210.34,18621.314453,509.74456799999996
2020-11-23,211.38,38.78,26.16,95.48,521.67,13.9,113.88,3100.18,344356.0,210.09,18364.121094,608.454041
2020-11-24,218.38,41.27,28.45,102.77,555.86,13.68,115.17,3116.86,350876.0,213.86,19107.464844,603.897766
2020-11-25,217.56,41.31,28.4,100.4,574.0,14.75,116.02,3184.82,350045.1,213.75,18732.121094,570.686646
2020-11-27,216.5001,41.0499,28.63,101.13,585.75,16.05,116.6,3195.95,347392.5,215.29,17108.402344,517.493713
2020-11-30,210.98,40.24,28.25,100.61,566.48,16.5678,119.06,3168.03,343525.0,214.24,19625.835938,614.842529
2020-12-01,213.14,39.96,28.81,102.3599,585.19,15.81,122.7,3220.08,344735.0,216.21,18802.998047,587.324158
2020-12-02,223.84,41.08,29.33,105.09,568.8,16.59,123.08,3203.75,345929.0,215.42,19201.091797,598.352356
2020-12-03,237.35,42.96,29.92,108.52,593.28,16.12,122.94,3188.66,346690.0,214.27,19445.398438,616.70874
2020-12-04,232.58,42.36,30.72,113.51,599.0,16.91,122.24,3163.49,346930.0,214.4,18699.765625,569.354187
2020-12-07,238.03,42.36,29.82,111.33,642.0,16.32,123.8,3158.77,343646.0,214.32,19191.630859,591.843384
2020-12-08,236.47,42.41,29.89,111.31,649.88,16.92,124.33,3176.64,342310.0,215.99,18321.144531,554.827759
2020-12-09,231.77,42.1,29.93,111.17,604.17,13.6576,121.67,3101.35,341385.6,211.41,18553.916016,573.479126
2020-12-10,234.39,42.61,30.92,112.83,627.33,14.12,123.22,3100.07,341127.03,210.515,18264.992188,559.678528
2020-12-11,230.33,41.74,30.19,111.0,610.0,13.31,122.49,3116.41,339700.0,213.27,18058.904297,545.797363
2020-12-14,228.63,40.7,29.51,107.51,639.79,12.72,121.77,3156.97,334427.22,214.19,19246.644531,586.011169
2020-12-15,229.5,41.84,30.75,114.03,632.48,13.87,127.89,3166.45,336540.0,214.16,19417.076172,589.355591
2020-12-16,225.84,41.08,30.99,115.28,622.67,13.85,127.75,3240.96,334200.0,219.19,21310.597656,636.181824
2020-12-17,221.26,41.11,31.1316,114.81,655.725,14.83,128.65,3237.015,338800.0,219.42,22805.162109,642.868958
2020-12-18,220.1,40.66,31.65,115.94,664.99,15.63,126.65,3201.07,336250.0,218.15,23137.960938,654.811951
2020-12-21,219.285,40.14,30.49,112.48,649.78,15.5202,128.24,3205.74,337800.0,222.57,22803.082031,609.817871
2020-12-22,218.82,38.93,30.35,112.62,640.09,19.43,131.845,3206.52,334500.0,223.97,23783.029297,634.854187
2020-12-23,219.56,40.23,30.98,115.29,645.98,20.58,130.96,3186.73,336600.0,221.02,23241.345703,583.7146
2020-12-24,217.13,39.73,30.73,114.33,661.66,20.2,131.99,3171.16,340357.0,222.71,23735.949219,611.607178
2020-12-28,216.09,40.14,31.31,115.48,663.77,20.98,136.73,3283.96,343100.0,224.96,27084.808594,730.397339
2020-12-29,216.185,40.04,30.77,114.31,665.98,19.37,134.93,3320.71,344820.0,224.29,27362.4375,731.520142
2020-12-30,216.5983,40.56,31.21,113.41,694.71,19.26,133.72,3285.85,344480.0,221.68,28840.953125,751.618958
2020-12-31,214.01,40.19,31.49,112.8,705.21,18.81,132.58,3256.41,348500.0,222.37,29001.720702999995,737.803406
2021-01-04,202.91,38.73,29.7,106.9,729.75,17.24,129.41,3186.65,342975.38,217.81,31971.914063,1040.233032
2021-01-05,211.71,39.56,30.37,110.16,735.055,17.36,130.95,3218.51,341600.0,218.01,33992.429688,1100.0061039999996
2021-01-06,210.995,40.37,31.19,110.89,756.46,18.39,126.58,3138.01,345115.0,212.22,36824.363281,1207.112183
2021-01-07,212.71,40.23,30.6,109.77,816.24,18.12,130.85,3161.41,349200.0,218.29,39371.042969,1225.678101
2021-01-08,209.9,40.03,31.36,109.02,880.03,17.6899,131.99,3182.7,351500.0,219.55,40797.609375,1224.197144
2021-01-11,206.79,39.41,30.78,108.07,811.18,19.93,128.98,3115.75,349879.3,217.5,35566.65625,1090.145386
2021-01-12,208.41,40.3,30.27,110.0,849.22,19.94,128.8199,3120.88,350500.0,214.93,33922.960938,1043.43457
