,,BTC,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,ETH
,Date,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
0,3/17/2020,5002.578125,5371.348633,4981.90918,5225.629395,38622642935,110.406784,118.988281,110.406784,113.942749,12087490572
1,3/18/2020,5227.11377,5331.833984,5069.335938,5238.438477,37878801016,113.857643,116.021622,111.743111,114.84227,11617854009
2,3/19/2020,5245.416504,6329.73584,5236.96875,6191.192871,51000731797,114.839828,140.527725,114.732864,136.593857,16396753275
3,3/20/2020,6191.653809,6844.261719,5865.781738,6198.77832,54442976103,136.649277,150.853806,122.605659,132.737167,18960388062
4,3/21/2020,6206.521484,6378.135254,5932.823242,6185.066406,42494390880,133.101761,135.972412,127.163757,132.81871,13684083308
5,3/22/2020,6185.558105,6359.697266,5823.713867,5830.254883,40099664740,132.851135,136.151642,122.909332,123.321152,12497707224
6,3/23/2020,5831.374512,6443.93457,5785.004395,6416.314941,46491916000,123.365982,134.911606,121.867882,134.911606,14149877968
7,3/24/2020,6436.642578,6789.022949,6411.066406,6734.803711,48221910672,135.194138,141.948532,133.168777,138.761444,14609068673
8,3/25/2020,6738.716797,6892.51123,6536.92627,6681.062988,44590107888,138.914963,141.403793,134.30423,136.195892,13433092920
9,3/26/2020,6675.170898,6735.463867,6590.962891,6716.44043,35319797642,136.190674,138.830566,134.886032,138.361557,11367261176
10,3/27/2020,6719.38916,6793.836426,6466.70166,6469.79834,34585598367,138.369934,139.902695,133.937943,133.937943,11396286629
11,3/28/2020,6467.253906,6467.500977,6117.837891,6242.193848,34885225901,134.032745,134.032745,126.962189,130.986496,12162403960
12,3/29/2020,6245.624512,6250.467285,5920.085938,5922.042969,28373690931,131.015335,131.174088,125.45005,125.583733,9938133669
13,3/30/2020,5925.538574,6517.195801,5903.234375,6429.841797,37101651525,125.577896,133.911469,125.28968,132.904541,11841123306
14,3/31/2020,6430.606445,6504.515137,6374.162109,6438.644531,32786468812,132.820923,134.274139,131.652893,133.593567,11065246317
15,4/1/2020,6437.319336,6612.57373,6202.373535,6606.776367,40346426266,133.61232,135.634552,129.730942,135.634552,12456564435
