time,Tesla,Gamestop
2020-03-17 00:00:00-04:00,430.0,4.23
2020-03-18 00:00:00-04:00,361.6,3.78
2020-03-19 00:00:00-04:00,427.295,4.19
2020-03-20 00:00:00-04:00,427.53,3.755
2020-03-23 00:00:00-04:00,434.29,3.81
2020-03-24 00:00:00-04:00,504.3,4.195
2020-03-25 00:00:00-04:00,539.175,4.2
2020-03-26 00:00:00-04:00,528.05,4.405
2020-03-27 00:00:00-04:00,514.56,4.2101
2020-03-30 00:00:00-04:00,502.1,3.65
2020-03-31 00:00:00-04:00,524.48,3.525
2020-04-01 00:00:00-04:00,481.58,3.25
2020-04-02 00:00:00-04:00,454.47,2.86
2020-04-03 00:00:00-04:00,480.0,2.795
2020-04-06 00:00:00-04:00,516.24,3.08
2020-04-07 00:00:00-04:00,545.47,3.28
2020-04-08 00:00:00-04:00,548.7,3.4
2020-04-09 00:00:00-04:00,573.01,3.89
2020-04-13 00:00:00-04:00,650.9899,4.75
2020-04-14 00:00:00-04:00,709.755,5.93
2020-04-15 00:00:00-04:00,729.5254,5.265
2020-04-16 00:00:00-04:00,745.6545,5.015
2020-04-17 00:00:00-04:00,753.65,4.87
2020-04-20 00:00:00-04:00,746.35,5.57
2020-04-21 00:00:00-04:00,686.72,4.785
2020-04-22 00:00:00-04:00,731.0656,4.85
2020-04-23 00:00:00-04:00,705.63,4.685
2020-04-24 00:00:00-04:00,725.0,4.77
2020-04-27 00:00:00-04:00,798.92,5.82
2020-04-28 00:00:00-04:00,769.11,5.62
2020-04-29 00:00:00-04:00,799.84,5.99
2020-04-30 00:00:00-04:00,781.06,5.73
2020-05-01 00:00:00-04:00,701.31,6.05
2020-05-04 00:00:00-04:00,761.21,5.46
2020-05-05 00:00:00-04:00,768.06,5.38
2020-05-06 00:00:00-04:00,782.45,4.935
2020-05-07 00:00:00-04:00,780.215,4.8586
2020-05-08 00:00:00-04:00,819.25,4.96
2020-05-11 00:00:00-04:00,810.48,4.77
2020-05-12 00:00:00-04:00,809.21,4.54
2020-05-13 00:00:00-04:00,790.62,4.2
2020-05-14 00:00:00-04:00,803.04,4.14
2020-05-15 00:00:00-04:00,799.034,4.23
2020-05-18 00:00:00-04:00,813.51,4.57
2020-05-19 00:00:00-04:00,808.0,4.44
2020-05-20 00:00:00-04:00,815.46,4.42
2020-05-21 00:00:00-04:00,827.75,4.45
2020-05-22 00:00:00-04:00,816.4,4.18
2020-05-26 00:00:00-04:00,818.74,4.42
2020-05-27 00:00:00-04:00,819.955,4.681
2020-05-28 00:00:00-04:00,805.975,4.33
2020-05-29 00:00:00-04:00,834.1905,4.06
2020-06-01 00:00:00-04:00,897.875,4.14
2020-06-02 00:00:00-04:00,881.4,4.18
2020-06-03 00:00:00-04:00,882.51,4.45
2020-06-04 00:00:00-04:00,864.27,4.47
2020-06-05 00:00:00-04:00,885.335,4.14
2020-06-08 00:00:00-04:00,948.45,4.99
2020-06-09 00:00:00-04:00,941.5524,4.955
2020-06-10 00:00:00-04:00,1024.974,5.06
2020-06-11 00:00:00-04:00,972.41,4.37
2020-06-12 00:00:00-04:00,936.25,4.4891
2020-06-15 00:00:00-04:00,990.75,4.69
2020-06-16 00:00:00-04:00,981.51,4.64
2020-06-17 00:00:00-04:00,990.56,4.76
2020-06-18 00:00:00-04:00,1004.02,4.92
2020-06-19 00:00:00-04:00,1000.57,4.81
2020-06-22 00:00:00-04:00,994.54,4.87
2020-06-23 00:00:00-04:00,1001.66,4.84
