,BTC,BTC,BTC,BTC,BTC,BTC,,,,ETH,ETH,ETH,ETH,ETH,ETH
,Date,Open,High,Low,Close,Volume,,,,Date,Open,High,Low,Close,Volume
,3/17/2020 23:58:00,#N/A,#N/A,#N/A,5331.72,#N/A,,,,3/17/2020 16:00:00,10.32,10.94,9.73,10.64,474203
,3/18/2020 23:58:00,#N/A,#N/A,#N/A,5413.64,#N/A,,,,3/18/2020 16:00:00,10.15,10.44,9.3,9.97,328690
,3/19/2020 23:58:00,#N/A,#N/A,#N/A,6186.95,#N/A,,,,3/19/2020 16:00:00,10.06,12.18,9.85,11.74,435354
,3/20/2020 23:58:00,#N/A,#N/A,#N/A,6201.61,#N/A,,,,3/20/2020 16:00:00,11.78,11.95,10.61,11.2,656370
,3/21/2020 23:58:00,#N/A,#N/A,#N/A,6198.78,#N/A,,,,3/23/2020 16:00:00,11.07,11.14,9.7,10.63,590386
,3/22/2020 23:58:00,#N/A,#N/A,#N/A,5834.78,#N/A,,,,3/24/2020 16:00:00,11.04,11.73,11.04,11.73,383366
,3/23/2020 23:58:00,#N/A,#N/A,#N/A,6499.12,#N/A,,,,3/25/2020 16:00:00,11.73,12.36,11.4,11.62,437045
,3/24/2020 23:58:00,#N/A,#N/A,#N/A,6766.65,#N/A,,,,3/26/2020 16:00:00,11.66,12.66,11.58,12.12,346846
,3/25/2020 23:58:00,#N/A,#N/A,#N/A,6690,#N/A,,,,3/27/2020 16:00:00,11.75,12.21,11.27,11.28,324917
,3/26/2020 23:58:00,#N/A,#N/A,#N/A,6759.85,#N/A,,,,3/30/2020 16:00:00,11.3,11.3,10.15,10.8,371555
,3/27/2020 23:58:00,#N/A,#N/A,#N/A,6372.36,#N/A,,,,3/31/2020 16:00:00,10.59,11.21,9.98,10.22,415550
,3/28/2020 23:58:00,#N/A,#N/A,#N/A,6251.82,#N/A,,,,4/1/2020 16:00:00,9.79,10.56,9.12,9.46,383514
,3/29/2020 23:58:00,#N/A,#N/A,#N/A,5902.05,#N/A,,,,4/2/2020 16:00:00,9.22,9.91,8.62,8.92,323976
,3/30/2020 23:58:00,#N/A,#N/A,#N/A,6406.4,#N/A,,,,4/3/2020 16:00:00,8.85,8.96,8.38,8.61,324864
,3/31/2020 23:58:00,#N/A,#N/A,#N/A,6445.67,#N/A,,,,4/6/2020 16:00:00,8.98,9.75,8.84,9.7,442690
,4/1/2020 23:58:00,#N/A,#N/A,#N/A,6664.85,#N/A,,,,4/7/2020 16:00:00,10.11,10.58,9.34,9.5,300083
,4/2/2020 23:58:00,#N/A,#N/A,#N/A,6805.12,#N/A,,,,4/8/2020 16:00:00,9.2,9.85,8.59,9.59,500621
,4/3/2020 23:58:00,#N/A,#N/A,#N/A,6741.99,#N/A,,,,4/9/2020 16:00:00,9.92,10.71,9.92,10.58,262686
,4/4/2020 23:58:00,#N/A,#N/A,#N/A,6874.77,#N/A,,,,4/13/2020 16:00:00,10.55,10.72,10.14,10.39,239345
,4/5/2020 23:58:00,#N/A,#N/A,#N/A,6794.49,#N/A,,,,4/14/2020 16:00:00,10.67,10.67,9.88,9.94,263667
,4/6/2020 23:58:00,#N/A,#N/A,#N/A,7341.56,#N/A,,,,4/15/2020 16:00:00,9.51,9.72,8.95,9.55,413255
,4/7/2020 23:58:00,#N/A,#N/A,#N/A,7209.62,#N/A,,,,4/16/2020 16:00:00,9.63,9.73,9.12,9.28,291470
,4/8/2020 23:58:00,#N/A,#N/A,#N/A,7370.11,#N/A,,,,4/17/2020 16:00:00,9.7,10.23,9.44,10.14,359242
,4/9/2020 23:58:00,#N/A,#N/A,#N/A,7293.24,#N/A,,,,4/20/2020 16:00:00,9.75,10.22,9.75,9.87,316524
,4/10/2020 23:58:00,#N/A,#N/A,#N/A,6871.91,#N/A,,,,4/21/2020 16:00:00,9.59,9.92,9.34,9.42,284696
,4/11/2020 23:58:00,#N/A,#N/A,#N/A,6889.65,#N/A,,,,4/22/2020 16:00:00,9.59,9.62,9.24,9.43,167299
,4/12/2020 23:58:00,#N/A,#N/A,#N/A,6908.13,#N/A,,,,4/23/2020 16:00:00,9.45,10.22,9.45,10.02,262081
,4/13/2020 23:58:00,#N/A,#N/A,#N/A,6861.21,#N/A,,,,4/24/2020 16:00:00,10.21,10.84,10.15,10.8,272877
,4/14/2020 23:58:00,#N/A,#N/A,#N/A,6877.37,#N/A,,,,4/27/2020 16:00:00,10.75,11.12,10.61,10.74,314606
,4/15/2020 23:58:00,#N/A,#N/A,#N/A,6624.12,#N/A,,,,4/28/2020 16:00:00,11.08,11.72,11,11.53,239619
,4/16/2020 23:58:00,#N/A,#N/A,#N/A,7112.78,#N/A,,,,4/29/2020 16:00:00,11.99,12.03,11.04,11.37,537251
,4/17/2020 23:58:00,#N/A,#N/A,#N/A,7036.25,#N/A,,,,4/30/2020 16:00:00,11.13,11.62,10.85,11.31,363406
,4/18/2020 23:58:00,#N/A,#N/A,#N/A,7254.33,#N/A,,,,5/1/2020 16:00:00,11,11.64,11,11.6,288626
,4/19/2020 23:58:00,#N/A,#N/A,#N/A,7130.71,#N/A,,,,5/4/2020 16:00:00,11.39,11.7,11.21,11.56,303927
,4/20/2020 23:58:00,#N/A,#N/A,#N/A,6838.19,#N/A,,,,5/5/2020 16:00:00,11.8,12.02,10.94,11.02,396819
,4/21/2020 23:58:00,#N/A,#N/A,#N/A,6853.68,#N/A,,,,5/6/2020 16:00:00,11.03,11.07,10.27,10.5,367166
,4/22/2020 23:58:00,#N/A,#N/A,#N/A,7136.84,#N/A,,,,5/7/2020 16:00:00,10.66,10.99,10.63,10.76,327535
,4/23/2020 23:58:00,#N/A,#N/A,#N/A,7472.45,#N/A,,,,5/8/2020 16:00:00,11.02,11.54,10.93,11.54,320288
,4/24/2020 23:58:00,#N/A,#N/A,#N/A,7508.67,#N/A,,,,5/11/2020 16:00:00,11.33,11.88,11.16,11.53,301523
,4/25/2020 23:58:00,#N/A,#N/A,#N/A,7543.29,#N/A,,,,5/12/2020 16:00:00,11.25,11.58,9.35,9.84,846330
,4/26/2020 23:58:00,#N/A,#N/A,#N/A,7692.05,#N/A,,,,5/13/2020 16:00:00,10,10.55,9.5,9.6,504139
,4/27/2020 23:58:00,#N/A,#N/A,#N/A,7785.73,#N/A,,,,5/14/2020 16:00:00,9.36,10.14,9.08,10.03,545523
,4/28/2020 23:58:00,#N/A,#N/A,#N/A,7758.4,#N/A,,,,5/15/2020 16:00:00,9.98,11.43,9.92,10.92,2224795
