,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,BRK.A,BRK.A,BRK.A,BRK.A,BRK.A,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-03-17 00:00:00-04:00,247.51,257.61,238.4,252.85,151273870,1776.0,1857.775,1689.2402,1807.38,20134204,275000.0,280619.12,268000.0,280619.12,1203,140.0,147.4998,135.0,146.57,72989148
2020-03-18 00:00:00-04:00,239.77,250.0,237.12,249.0,62337123,1750.0,1841.66,1745.0,1832.39,7949578,266000.06,270874.0,251101.0,258927.0,1215,138.0,146.0,135.02,142.13,66830974
2020-03-19 00:00:00-04:00,247.385,252.84,242.61,244.78,61569852,1858.33,1945.0,1832.65,1880.5,9312968,251100.0,264440.0,250000.0,261690.0,1132,142.77,150.15,139.0,142.67,143007530
2020-03-20 00:00:00-04:00,247.18,251.83,228.0,228.74,83656772,1925.0,1957.0,1820.73,1846.09,9098838,265000.0,265000.0,251000.0,254600.0,1130,146.01,147.1,135.86,136.77,79911281
2020-03-23 00:00:00-04:00,228.08,228.4997,212.61,223.43,77575565,1827.75,1919.4,1812.0,1902.54,7171193,249000.0,250000.0,239440.0,242000.0,1291,137.01,140.57,132.52,135.56,70948783
2020-03-24 00:00:00-04:00,236.36,247.69,234.3,246.88,64013339,1951.31,1955.0,1900.3403,1940.0,6411717,255225.5,268500.0,254500.0,267090.0,1207,143.75,149.6,141.27,148.34,71620681
2020-03-25 00:00:00-04:00,250.82,258.25,244.3,245.465,67944382,1920.69,1950.26,1885.78,1885.78,5985263,269200.0,283325.0,262710.0,269409.75,936,148.91,154.33,144.44,146.85,65917270
2020-03-26 00:00:00-04:00,246.52,258.68,246.36,258.48,54641901,1902.0,1956.49,1889.29,1955.225,5377163,270800.0,277162.75,269500.0,276095.0,755,148.4,156.66,148.37,156.11,53636552
2020-03-27 00:00:00-04:00,252.75,255.87,247.05,247.62,45641532,1931.0,1939.79,1899.92,1899.92,4672178,267600.0,276362.75,265337.34,269350.0,592,151.75,154.89,149.2,149.61,48247560
2020-03-30 00:00:00-04:00,250.74,255.52,249.4,254.79,37524398,1922.48,1973.63,1912.34,1964.78,5244822,269410.0,276000.0,267020.47,275052.5,425,152.44,160.6,150.01,160.3,113344210
2020-03-31 00:00:00-04:00,255.6,262.49,252.0,254.3,41083385,1964.35,1993.02,1944.01,1949.79,4471543,272635.5,279140.0,270845.28,274010.0,486,159.44,164.78,156.56,157.64,66265405
2020-04-01 00:00:00-04:00,246.5,248.72,239.13,240.76,39826068,1933.0,1944.96,1893.0,1906.58,3729348,265900.0,267850.0,261180.0,264000.0,856,153.0,157.75,150.82,151.94,51267295
2020-04-02 00:00:00-04:00,240.34,245.15,236.9,244.93,75974814,1901.64,1927.5258,1890.0,1918.83,8042698,262130.95,270000.0,261894.98,269905.0,864,151.86,155.48,150.36,155.26,44283455
2020-04-03 00:00:00-04:00,242.8,245.7,238.9741,241.43,29119767,1911.15,1926.33,1889.15,1906.6,3159348,268700.0,270204.9,263242.03,267551.1,292,155.1,157.38,152.19,153.8201,36820781
2020-04-06 00:00:00-04:00,250.9,263.11,249.38,262.285,43802547,1936.0,1998.52,1930.02,1998.49,5120376,273001.0,279500.0,271444.0,277260.0,641,160.17,166.5,157.58,165.27,110309126
2020-04-07 00:00:00-04:00,270.8,271.7,259.0,259.385,47214898,2017.26,2035.72,1997.62,2011.6,4710631,285010.0,287000.0,277455.0,277820.0,716,169.59,170.0,163.26,163.49,113427660
2020-04-08 00:00:00-04:00,262.74,267.37,261.23,266.04,36519701,2021.0,2044.0,2011.15,2042.9,3693156,280850.0,287000.0,278280.0,286400.0,395,165.67,166.67,163.5,165.11,42992534
2020-04-09 00:00:00-04:00,268.7,270.07,264.7,267.96,37508554,2046.0,2053.0,2017.66,2042.82,4188295,290950.0,295764.66,287220.0,290595.0,552,166.36,167.37,163.33,165.19,45817799
2020-04-13 00:00:00-04:00,268.31,273.7,265.83,273.23,30530102,2039.87,2180.0,2038.0,2168.01,6310824,290950.0,290950.0,279060.0,283000.0,565,164.35,165.57,162.3,165.51,74408746
2020-04-14 00:00:00-04:00,280.0,288.25,278.05,287.07,88126631,2200.47,2292.0,2186.21,2283.31,15168337,291400.0,291533.34,286392.75,289212.0,669,169.0,173.75,168.0,173.7,92927769
2020-04-15 00:00:00-04:00,282.4,286.33,280.63,284.45,54896950,2257.68,2333.369,2245.0,2309.27,12634637,284500.0,284500.0,281201.0,283250.0,577,171.2,173.57,169.24,171.94,105538921
2020-04-16 00:00:00-04:00,287.38,288.1975,282.3502,286.72,103289014,2346.0,2460.998,2335.0,2408.19,33024507,283750.0,283751.0,278800.0,281640.0,781,174.3,177.28,172.9,177.07,167649296
2020-04-17 00:00:00-04:00,284.69,286.945,276.86,282.74,189543675,2372.33,2400.0,2316.02,2372.87,27969629,289585.0,289585.0,283600.0,286865.0,830,179.5,180.0,175.87,178.6,132389675
2020-04-20 00:00:00-04:00,277.95,281.68,276.85,276.85,86952157,2389.95,2444.98,2386.05,2393.08,15428327,282200.0,283800.0,281000.0,282531.0,737,176.63,178.75,174.99,174.99,95940393
2020-04-21 00:00:00-04:00,276.28,277.25,265.43,268.36,120805673,2416.61,2428.3098,2279.66,2329.36,20725717,275950.0,278609.9,275000.0,275510.0,667,173.5,173.6699,166.1102,167.67,197600120
2020-04-22 00:00:00-04:00,273.61,277.58,272.2,276.09,95665531,2369.0,2394.0,2351.0,2366.54,13904142,280000.0,280888.0,278000.1,279430.0,625,171.39,173.97,170.82,173.725,79218493
2020-04-23 00:00:00-04:00,275.87,281.75,274.87,274.87,55290604,2399.98,2424.22,2382.08,2399.44,8913313,280000.0,280888.0,277267.66,279185.0,591,174.11,175.06,170.91,171.43,113212881
2020-04-24 00:00:00-04:00,277.2,283.01,277.0,282.95,84909438,2417.0,2420.433,2382.0,2410.0,10481568,280100.0,280130.0,276601.5,279460.0,543,172.06,174.56,170.71,174.54,86312145
2020-04-27 00:00:00-04:00,281.8,284.54,279.95,283.25,52652760,2443.2,2444.88,2363.0,2376.82,10185891,280910.94,284039.0,279855.0,281032.0,773,176.59,176.9,173.3,174.03,58799715
2020-04-28 00:00:00-04:00,285.08,285.83,278.2,278.57,24567863,2372.1,2373.5,2306.0,2314.08,4643171,285400.0,286479.9,280600.0,280660.0,585,175.59,175.67,169.39,169.79,29678984
2020-04-29 00:00:00-04:00,284.73,289.67,283.89,287.83,57520384,2330.01,2391.89,2310.0,2371.88,7930384,286400.0,288888.0,283800.0,283800.0,762,173.22,177.68,171.88,177.3,39984236
2020-04-30 00:00:00-04:00,289.96,294.53,288.35,293.99,34380486,2419.84,2471.5,2396.01,2471.5,6873149,283200.0,284452.5,280280.0,280891.0,495,180.0,180.4,176.23,179.22,89953339
2020-05-01 00:00:00-04:00,286.25,299.0,285.85,289.07,112571771,2336.8,2362.44,2258.1902,2285.94,18176321,278121.0,278710.0,272520.0,274152.0,573,175.8,178.64,174.01,174.5,33950716
2020-05-04 00:00:00-04:00,289.17,293.69,286.3172,293.17,31026388,2256.38,2326.98,2256.38,2315.99,4478248,270000.0,270000.0,265000.0,267400.0,607,174.49,179.0,173.8,178.84,53648238
