time,AAPL,AMZN,BRK.A,MSFT
2020-03-17 00:00:00-04:00,252.85,1807.38,280619.12,146.57
2020-03-18 00:00:00-04:00,249.0,1832.39,258927.0,142.13
2020-03-19 00:00:00-04:00,244.78,1880.5,261690.0,142.67
2020-03-20 00:00:00-04:00,228.74,1846.09,254600.0,136.77
2020-03-23 00:00:00-04:00,223.43,1902.54,242000.0,135.56
2020-03-24 00:00:00-04:00,246.88,1940.0,267090.0,148.34
2020-03-25 00:00:00-04:00,245.465,1885.78,269409.75,146.85
2020-03-26 00:00:00-04:00,258.48,1955.225,276095.0,156.11
2020-03-27 00:00:00-04:00,247.62,1899.92,269350.0,149.61
2020-03-30 00:00:00-04:00,254.79,1964.78,275052.5,160.3
2020-03-31 00:00:00-04:00,254.3,1949.79,274010.0,157.64
2020-04-01 00:00:00-04:00,240.76,1906.58,264000.0,151.94
2020-04-02 00:00:00-04:00,244.93,1918.83,269905.0,155.26
2020-04-03 00:00:00-04:00,241.43,1906.6,267551.1,153.8201
2020-04-06 00:00:00-04:00,262.285,1998.49,277260.0,165.27
2020-04-07 00:00:00-04:00,259.385,2011.6,277820.0,163.49
2020-04-08 00:00:00-04:00,266.04,2042.9,286400.0,165.11
2020-04-09 00:00:00-04:00,267.96,2042.82,290595.0,165.19
2020-04-13 00:00:00-04:00,273.23,2168.01,283000.0,165.51
2020-04-14 00:00:00-04:00,287.07,2283.31,289212.0,173.7
2020-04-15 00:00:00-04:00,284.45,2309.27,283250.0,171.94
2020-04-16 00:00:00-04:00,286.72,2408.19,281640.0,177.07
2020-04-17 00:00:00-04:00,282.74,2372.87,286865.0,178.6
2020-04-20 00:00:00-04:00,276.85,2393.08,282531.0,174.99
2020-04-21 00:00:00-04:00,268.36,2329.36,275510.0,167.67
2020-04-22 00:00:00-04:00,276.67,2370.0,280179.6,173.575
2020-04-23 00:00:00-04:00,274.87,2399.44,279185.0,171.43
2020-04-24 00:00:00-04:00,282.95,2410.0,279460.0,174.54
2020-04-27 00:00:00-04:00,283.25,2376.82,281032.0,174.03
2020-04-28 00:00:00-04:00,278.57,2314.08,280660.0,169.79
2020-04-29 00:00:00-04:00,287.83,2371.88,283800.0,177.3
2020-04-30 00:00:00-04:00,293.99,2471.5,280891.0,179.22
2020-05-01 00:00:00-04:00,289.07,2285.94,274152.0,174.5
2020-05-04 00:00:00-04:00,293.17,2315.99,267400.0,178.84
2020-05-05 00:00:00-04:00,297.78,2317.64,264500.0,180.76
2020-05-06 00:00:00-04:00,300.5,2350.97,259233.84,182.49
2020-05-07 00:00:00-04:00,303.75,2367.61,260600.0,183.6078
2020-05-08 00:00:00-04:00,310.1484,2379.5,265160.0,184.68
2020-05-11 00:00:00-04:00,315.005,2406.9375,262215.0,186.65
2020-05-12 00:00:00-04:00,311.51,2357.505,260000.0,182.38
2020-05-13 00:00:00-04:00,307.68,2366.17,256070.0,179.78
2020-05-14 00:00:00-04:00,309.7,2391.37,256160.02,180.61
2020-05-15 00:00:00-04:00,307.74,2410.41,253905.0,183.39
2020-05-18 00:00:00-04:00,314.89,2426.38,263205.0,184.9
2020-05-19 00:00:00-04:00,313.01,2448.59,258700.0,183.5
2020-05-20 00:00:00-04:00,319.16,2497.35,264100.0,185.66
2020-05-21 00:00:00-04:00,317.04,2448.01,262490.0,183.49
2020-05-22 00:00:00-04:00,318.89,2436.89,262740.0,183.51
2020-05-26 00:00:00-04:00,316.84,2423.7,270220.0,181.56
2020-05-27 00:00:00-04:00,318.08,2409.51,278650.0,181.81
2020-05-28 00:00:00-04:00,318.15,2401.05,277994.0,181.27
2020-05-29 00:00:00-04:00,318.76,2436.53,278040.0,183.96
2020-06-01 00:00:00-04:00,321.76,2470.12,275800.0,182.86
2020-06-02 00:00:00-04:00,323.42,2473.3,278850.0,185.0
2020-06-03 00:00:00-04:00,325.09,2478.4,286368.0,185.36
2020-06-04 00:00:00-04:00,322.25,2460.6,288000.0,182.95
2020-06-05 00:00:00-04:00,331.54,2481.415,301000.0,187.5
2020-06-08 00:00:00-04:00,333.4402,2522.8,302431.0,188.47
2020-06-09 00:00:00-04:00,344.32,2603.39,294000.0,190.07
2020-06-10 00:00:00-04:00,352.78,2648.16,287200.0,196.82
