,GME,GME,GME,GME,GME,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,
2020-03-17 00:00:00-04:00,4.4,4.65,4.11,4.23,3193488,440.01,471.85,396.0,430.0,23150951
2020-03-18 00:00:00-04:00,4.1,4.25,3.5,3.78,3083498,389.0,404.86,350.51,361.6,39991154
2020-03-19 00:00:00-04:00,3.71,4.2,3.55,4.19,4750379,374.6965,452.0,358.46,427.295,28716890
2020-03-20 00:00:00-04:00,4.08,4.08,3.65,3.755,5301562,438.2,477.0,425.79,427.53,27182628
2020-03-23 00:00:00-04:00,3.58,3.86,3.5,3.81,5586664,433.55,441.9999,410.5,434.29,15611610
2020-03-24 00:00:00-04:00,3.95,4.21,3.8901,4.195,6280712,476.3,513.69,474.0,504.3,21685259
2020-03-25 00:00:00-04:00,4.15,4.49,4.04,4.2,3330356,545.25,557.0,511.11,539.175,19706795
2020-03-26 00:00:00-04:00,4.24,4.71,4.24,4.405,4987438,547.39,560.0,512.25,528.05,16688863
2020-03-27 00:00:00-04:00,4.94,5.09,4.15,4.2101,6887786,505.0,525.8,494.03,514.56,13608376
2020-03-30 00:00:00-04:00,4.22,4.27,3.65,3.65,3075337,510.26,516.6471,491.23,502.1,11162231
2020-03-31 00:00:00-04:00,3.63,3.8,3.52,3.525,1748239,501.25,542.96,497.0,524.48,16421035
2020-04-01 00:00:00-04:00,3.45,3.49,3.12,3.25,3386185,504.0,513.9548,475.1,481.58,12570750
2020-04-02 00:00:00-04:00,3.26,3.35,2.85,2.86,3839698,481.03,494.2599,446.4,454.47,15413671
2020-04-03 00:00:00-04:00,2.85,2.94,2.57,2.795,3648164,509.5,515.49,468.3901,480.0,21274333
2020-04-06 00:00:00-04:00,2.86,3.2,2.825,3.08,3096691,511.16,521.0,497.96,516.24,27631958
2020-04-07 00:00:00-04:00,3.39,3.4399,3.1,3.28,2525716,545.0,565.0,532.34,545.47,17334969
2020-04-08 00:00:00-04:00,3.28,3.6701,3.28,3.4,2608507,555.75,557.05,533.33,548.7,23557730
2020-04-09 00:00:00-04:00,3.6,4.25,3.49,3.89,5512500,562.09,575.1818,557.11,573.01,12745268
2020-04-13 00:00:00-04:00,4.25,4.76,4.16,4.75,6231487,591.0,652.0,580.53,650.9899,21175579
2020-04-14 00:00:00-04:00,5.21,6.47,5.14,5.93,12885926,698.97,741.88,692.43,709.755,57451900
2020-04-15 00:00:00-04:00,5.66,5.67,4.9,5.265,7350359,742.0,753.13,710.0,729.5254,43359242
2020-04-16 00:00:00-04:00,5.12,5.44,4.88,5.015,3242649,716.94,759.45,706.715,745.6545,57474573
2020-04-17 00:00:00-04:00,5.22,5.28,4.43,4.87,5505955,772.28,774.95,747.66,753.65,24322747
2020-04-20 00:00:00-04:00,4.85,5.9,4.78,5.57,6036322,732.7,765.57,712.21,746.35,28421310
2020-04-21 00:00:00-04:00,5.23,5.3,4.76,4.785,3889681,730.12,753.33,673.79,686.72,58529442
2020-04-22 00:00:00-04:00,5.14,5.17,4.85,4.85,2403495,703.98,731.6,688.71,731.0656,37901725
2020-04-23 00:00:00-04:00,4.75,4.89,4.58,4.685,2228738,727.6,734.0,703.13,705.63,38120713
2020-04-24 00:00:00-04:00,4.78,4.85,4.66,4.77,2135622,710.81,730.73,698.18,725.0,24775239
2020-04-27 00:00:00-04:00,4.85,5.99,4.81,5.82,6984468,737.61,799.49,735.0,798.92,58450139
2020-04-28 00:00:00-04:00,5.92,6.04,5.06,5.62,5145770,795.64,805.0,756.69,769.11,14526538
2020-04-29 00:00:00-04:00,5.83,6.09,5.4502,5.99,3298039,790.17,803.1999,783.16,799.84,12096180
2020-04-30 00:00:00-04:00,5.87,5.975,5.64,5.73,1891386,855.19,869.82,763.5,781.06,53718332
2020-05-01 00:00:00-04:00,5.65,6.18,5.45,6.05,3932948,755.0,772.77,683.04,701.31,31742479
2020-05-04 00:00:00-04:00,5.84,5.93,5.4,5.46,3092895,701.0,762.0,698.0,761.21,36511504
2020-05-05 00:00:00-04:00,5.55,5.63,5.3501,5.38,2049210,789.79,798.92,762.18,768.06,16328797
2020-05-06 00:00:00-04:00,5.4,5.4,4.9,4.935,3234250,776.5,789.8,761.11,782.45,21416699
2020-05-07 00:00:00-04:00,4.83,4.935,4.65,4.8586,2437425,777.21,796.4,772.35,780.215,11124597
2020-05-08 00:00:00-04:00,4.88,5.19,4.82,4.96,2203215,793.77,824.0,787.01,819.25,31166079
2020-05-11 00:00:00-04:00,4.92,4.959,4.75,4.77,1629811,790.51,824.0,785.0,810.48,31241342
2020-05-12 00:00:00-04:00,4.78,4.92,4.4601,4.54,2504617,827.0,843.29,808.0,809.21,15080918
2020-05-13 00:00:00-04:00,4.54,4.54,4.07,4.2,2820213,820.83,826.0,763.3,790.62,18430885
2020-05-14 00:00:00-04:00,4.15,4.19,3.96,4.14,1937248,780.0,803.36,764.0,803.04,13077331
2020-05-15 00:00:00-04:00,4.05,4.45,4.041,4.23,1827240,790.35,805.0486,786.552,799.034,20204818
2020-05-18 00:00:00-04:00,4.4,4.63,4.36,4.57,2227162,827.78,834.7201,803.88,813.51,10969747
2020-05-19 00:00:00-04:00,4.58,4.75,4.37,4.44,1783139,815.17,822.07,806.08,808.0,9331427
2020-05-20 00:00:00-04:00,4.5,4.69,4.335,4.42,2029715,820.5,826.0,811.8,815.46,13799592
2020-05-21 00:00:00-04:00,4.45,4.65,4.4,4.45,1780814,816.0,832.5,796.0,827.75,23543511
2020-05-22 00:00:00-04:00,4.46,4.49,4.13,4.18,2178525,822.1735,831.78,812.0,816.4,19439642
2020-05-26 00:00:00-04:00,4.34,4.61,4.33,4.42,3412788,834.5,834.6,815.705,818.74,7532731
2020-05-27 00:00:00-04:00,4.57,4.71,4.355,4.681,3008279,820.86,827.71,785.0,819.955,11092116
2020-05-28 00:00:00-04:00,4.75,4.76,4.3,4.33,2068239,813.51,824.75,801.69,805.975,7013890
2020-05-29 00:00:00-04:00,4.33,4.42,4.05,4.06,3394250,808.75,835.0,804.21,834.1905,10523947
