,BA,BA,BA,BA,BA,DAL,DAL,DAL,DAL,DAL,MGM,MGM,MGM,MGM,MGM,WYNN,WYNN,WYNN,WYNN,WYNN
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2020-03-17 00:00:00-04:00,132.51,134.96,101.25,124.03,52088741,36.23,37.19,30.6,31.74,31674028,10.92,11.01,9.0,9.54,29102992,56.71,58.0,48.01,54.34,8532019
2020-03-18 00:00:00-04:00,99.86,107.85,89.0,101.89,52497232,29.79,29.79,19.1,23.485,56529508,9.0,9.03,5.9001,7.14,39987832,48.25,51.86,35.84,43.02,19940992
2020-03-19 00:00:00-04:00,98.8,103.57,90.35,97.71,38196591,23.36,24.15,20.0,21.5,42710188,7.17,9.24,6.45,7.7,37067054,41.15,52.9,38.01,46.57,10201487
2020-03-20 00:00:00-04:00,99.85,107.0,94.28,95.01,38848406,23.17,26.85,21.26,21.35,52917970,8.89,11.16,8.67,9.11,52910095,49.83,60.0,49.0101,51.97,11225096
2020-03-23 00:00:00-04:00,98.53,114.49,93.56,105.49,42338289,22.17,22.83,20.6,22.23,41609238,9.73,9.82,8.921,9.15,29228000,53.51,58.4,51.0,57.56,8383887
2020-03-24 00:00:00-04:00,123.68,127.96,116.13,127.5,38984638,26.26,28.98,24.52,26.89,62024829,11.45,12.9,10.66,12.185,49459646,68.66,71.3945,64.55,66.54,10424608
2020-03-25 00:00:00-04:00,154.9,174.77,141.0,158.68,71954112,31.49,33.28,27.4,31.14,66182027,14.45,14.72,11.6,12.945,49338186,71.81,79.7,65.19,75.06,9105453
2020-03-26 00:00:00-04:00,172.29,186.48,167.18,180.4,58598168,32.61,35.89,30.424,31.7,54879394,13.25,15.3,12.87,13.41,43514350,77.38,83.865,69.76,71.4,10541503
2020-03-27 00:00:00-04:00,172.0,172.92,155.5401,161.99,44801196,30.72,31.32,29.02,29.55,33321515,12.75,12.965,12.1,12.18,34046703,66.65,67.3,63.26,63.31,9150205
2020-03-30 00:00:00-04:00,153.81,153.81,140.68,152.27,48634546,28.49,29.29,26.0,28.67,28435635,11.55,12.37,10.5,11.53,30758051,61.76,63.69,58.05,61.06,6934685
2020-03-31 00:00:00-04:00,155.0,160.64,149.0,149.12,28211403,29.35,30.53,28.42,28.53,23023866,11.94,12.39,11.55,11.805,24081675,60.71,63.49,59.1,60.19,5020288
2020-04-01 00:00:00-04:00,138.91,144.38,130.0,130.62,39853804,26.59,26.59,23.69,23.83,53681458,11.01,12.22,10.6,11.76,28657138,56.91,57.0,52.91,54.0,6079050
2020-04-02 00:00:00-04:00,128.51,136.68,120.0204,123.13,39577901,23.92,24.65,22.51,22.69,35346363,11.56,12.19,11.22,11.5066,18977757,53.12,56.4,51.55,52.6001,4454822
2020-04-03 00:00:00-04:00,125.0,131.29,122.5,124.64,34963826,23.03,23.65,21.75,22.48,42805911,11.66,11.97,10.0,10.575,35790436,52.97,53.5,46.21,48.43,7829732
2020-04-06 00:00:00-04:00,133.7,149.69,129.21,148.43,46730255,22.3103,23.5,20.76,22.31,88817579,11.64,13.07,11.62,12.9,30181888,53.7,58.25,52.7501,56.73,17568746
2020-04-07 00:00:00-04:00,162.0,164.8,140.26,141.51,53148116,25.21,25.85,21.9,22.245,93034638,15.17,15.73,13.4,13.63,38394112,65.95,67.2,59.75,60.94,10953533
2020-04-08 00:00:00-04:00,147.785,154.0,144.55,146.81,37985188,23.095,23.64,22.53,23.24,60170078,14.19,15.28,13.87,15.0,26946234,62.79,69.39,61.66,69.01,20578302
2020-04-09 00:00:00-04:00,154.71,157.98,150.09,151.81,35445505,25.4,25.53,23.35,24.395,85580506,16.24,16.44,14.05,14.5475,37787409,73.91,76.88,67.82,70.65,10641899
2020-04-13 00:00:00-04:00,155.5,156.0,146.26,147.44,24198797,24.98,25.06,22.08,23.25,71545087,14.8,14.8,13.4,13.9,28419257,70.72,71.35,65.54,69.3,7206789
2020-04-14 00:00:00-04:00,150.51,152.4,140.0,140.99,31958950,23.9899,25.29,23.83,24.545,50274081,14.4,15.09,14.02,15.04,24614653,73.05,74.5399,69.19,74.4,12613160
2020-04-15 00:00:00-04:00,139.0,148.6873,132.9,145.89,37864192,24.91,25.5,23.31,24.3401,83987108,14.4,14.66,14.01,14.415,18909966,71.17,72.8594,70.0,71.86,11178647
2020-04-16 00:00:00-04:00,141.46,143.24,134.0,134.1248,36931435,23.76,23.8,22.63,22.77,52369630,14.21,14.41,13.465,13.81,19385468,71.04,72.7,68.81,72.39,16403561
2020-04-17 00:00:00-04:00,149.41,153.79,145.0,153.7579,50295523,24.15,24.61,23.59,24.27,50383278,14.89,14.9399,13.74,14.06,32527007,77.16,78.52,74.51,78.45,13939549
2020-04-20 00:00:00-04:00,147.21,151.6299,142.5,143.58,33669229,23.44,24.12,22.91,23.64,40490855,13.45,14.31,13.35,13.53,23109751,76.18,78.66,72.68,73.2676,11529492
2020-04-21 00:00:00-04:00,139.01,141.8962,135.45,136.31,26211314,23.02,23.77,22.8,23.04,37006044,13.01,13.5,12.79,13.17,18405625,71.08,73.59,69.68,70.48,15115717
2020-04-22 00:00:00-04:00,140.42,140.8199,135.01,135.05,20128025,23.88,23.94,21.63,22.53,65832988,13.58,13.64,13.135,13.325,12377175,72.85,73.25,69.61,70.11,9697985
2020-04-23 00:00:00-04:00,136.5,142.38,136.05,137.61,25027767,22.65,22.96,22.41,22.48,42650220,13.72,14.04,13.62,13.77,23568712,75.22,78.6,74.29,76.05,29280598
2020-04-24 00:00:00-04:00,137.0,137.57,128.33,129.0,34449858,22.53,22.68,21.75,22.41,40465977,13.89,14.13,13.5,13.95,16866629,76.96,77.57,73.93,76.59,9156940
2020-04-27 00:00:00-04:00,129.97,131.2,123.83,128.51,32982251,22.83,23.44,22.0,22.16,49485389,14.25,15.5,14.1,15.21,29727282,78.26,83.93,77.12,82.78,17262328
2020-04-28 00:00:00-04:00,133.88,137.2,127.74,130.91,36644834,23.0,24.9,22.65,24.335,82450591,16.5,16.5,15.0908,15.81,28269411,86.97,87.57,78.0,82.16,8799631
2020-04-29 00:00:00-04:00,138.08,147.18,135.25,138.98,56511188,25.69,27.6,25.5,27.315,78175917,16.72,17.6281,16.48,17.45,31372826,85.69,89.87,84.52,89.02,6612364
2020-04-30 00:00:00-04:00,137.67,144.65,132.31,140.86,36388285,26.7,27.23,25.5,25.93,59647539,16.94,17.31,16.21,16.822,25699079,87.22,90.8099,84.5754,85.54,12230458
2020-05-01 00:00:00-04:00,143.23,143.71,132.84,133.34,34760623,24.95,25.4,23.72,24.13,43672351,15.56,15.99,14.91,15.0,27063358,81.81,82.99,79.01,80.83,4830141
2020-05-04 00:00:00-04:00,127.115,131.5,124.35,131.39,29537712,21.19,22.79,20.5,22.597,87375002,14.54,15.38,14.03,14.775,22172679,77.1,80.95,75.565,80.45,9151025
2020-05-05 00:00:00-04:00,132.88,133.8,125.0,125.3501,29821433,23.02,23.5,21.51,21.71,49811114,15.3,15.32,14.23,14.26,22124366,82.69,83.09,78.345,79.67,3948828
2020-05-06 00:00:00-04:00,125.8,126.8591,121.37,121.85,28697461,21.76,22.1,20.7503,21.01,51458489,14.37,14.55,13.86,13.91,15796777,80.46,80.88,78.01,79.17,6287837
2020-05-07 00:00:00-04:00,122.81,130.71,122.36,128.57,28922756,21.07,22.5,21.02,21.67,46996815,14.0,15.24,13.96,14.94,25728550,80.0,82.665,78.17,79.59,7210809
