time,BA,DAL,MGM,WYNN
2020-03-17 00:00:00-04:00,124.03,31.74,9.54,54.34
2020-03-18 00:00:00-04:00,101.89,23.485,7.14,43.02
2020-03-19 00:00:00-04:00,97.71,21.5,7.7,46.57
2020-03-20 00:00:00-04:00,95.01,21.35,9.11,51.97
2020-03-23 00:00:00-04:00,105.49,22.23,9.15,57.56
2020-03-24 00:00:00-04:00,127.5,26.89,12.185,66.54
2020-03-25 00:00:00-04:00,158.68,31.14,12.945,75.06
2020-03-26 00:00:00-04:00,180.4,31.7,13.41,71.4
2020-03-27 00:00:00-04:00,161.99,29.55,12.18,63.31
2020-03-30 00:00:00-04:00,152.27,28.67,11.53,61.06
2020-03-31 00:00:00-04:00,149.12,28.53,11.805,60.19
2020-04-01 00:00:00-04:00,130.62,23.83,11.76,54.0
2020-04-02 00:00:00-04:00,123.13,22.69,11.5066,52.6001
2020-04-03 00:00:00-04:00,124.64,22.48,10.575,48.43
2020-04-06 00:00:00-04:00,148.43,22.31,12.9,56.73
2020-04-07 00:00:00-04:00,141.51,22.245,13.63,60.94
2020-04-08 00:00:00-04:00,146.81,23.24,15.0,69.01
2020-04-09 00:00:00-04:00,151.81,24.395,14.5475,70.65
2020-04-13 00:00:00-04:00,147.44,23.25,13.9,69.3
2020-04-14 00:00:00-04:00,140.99,24.545,15.04,74.4
2020-04-15 00:00:00-04:00,145.89,24.3401,14.415,71.86
2020-04-16 00:00:00-04:00,134.1248,22.77,13.81,72.39
2020-04-17 00:00:00-04:00,153.7579,24.27,14.06,78.45
2020-04-20 00:00:00-04:00,143.58,23.64,13.53,73.2676
2020-04-21 00:00:00-04:00,136.31,23.04,13.17,70.48
2020-04-22 00:00:00-04:00,135.08,22.5425,13.3,70.17
2020-04-23 00:00:00-04:00,137.61,22.48,13.77,76.05
2020-04-24 00:00:00-04:00,129.0,22.41,13.95,76.59
2020-04-27 00:00:00-04:00,128.51,22.16,15.21,82.78
2020-04-28 00:00:00-04:00,130.91,24.335,15.81,82.16
2020-04-29 00:00:00-04:00,138.98,27.315,17.45,89.02
2020-04-30 00:00:00-04:00,140.86,25.93,16.822,85.54
2020-05-01 00:00:00-04:00,133.34,24.13,15.0,80.83
2020-05-04 00:00:00-04:00,131.39,22.597,14.775,80.45
2020-05-05 00:00:00-04:00,125.3501,21.71,14.26,79.67
2020-05-06 00:00:00-04:00,121.85,21.01,13.91,79.17
2020-05-07 00:00:00-04:00,128.57,21.67,14.94,79.59
2020-05-08 00:00:00-04:00,133.37,22.71,15.59,87.04
2020-05-11 00:00:00-04:00,128.9,22.02,14.65,82.64
2020-05-12 00:00:00-04:00,125.27,21.035,13.84,78.68
2020-05-13 00:00:00-04:00,121.5,19.425,12.68,76.85
2020-05-14 00:00:00-04:00,122.44,19.38,13.51,78.3
2020-05-15 00:00:00-04:00,120.0,19.1884,13.85,77.78
2020-05-18 00:00:00-04:00,135.42,21.85,15.3,81.46
2020-05-19 00:00:00-04:00,130.5,21.755,15.15,82.03
2020-05-20 00:00:00-04:00,133.23,22.71,16.4916,86.86
2020-05-21 00:00:00-04:00,138.9613,23.15,15.99,83.17
2020-05-22 00:00:00-04:00,137.55,22.68,15.918,78.25
2020-05-26 00:00:00-04:00,144.79,25.64,17.65,84.89
2020-05-27 00:00:00-04:00,149.51,26.32,18.1,86.89
2020-05-28 00:00:00-04:00,149.79,25.65,17.23,83.17
2020-05-29 00:00:00-04:00,145.845,25.13,17.19,83.32
2020-06-01 00:00:00-04:00,151.37,26.17,17.8,86.5
2020-06-02 00:00:00-04:00,153.32,26.41,18.2,84.1
2020-06-03 00:00:00-04:00,173.07,28.47,20.27,93.49
2020-06-04 00:00:00-04:00,184.2,32.3898,21.72,95.34
2020-06-05 00:00:00-04:00,205.11,34.1683,21.71,101.6401
2020-06-08 00:00:00-04:00,230.54,36.99,23.77,108.6999
2020-06-09 00:00:00-04:00,216.885,34.18,22.06,102.82
2020-06-10 00:00:00-04:00,203.33,31.67,20.505,99.03
2020-06-11 00:00:00-04:00,170.0,27.222,17.84,89.84
2020-06-12 00:00:00-04:00,179.1401,29.3317,18.58,90.6681
2020-06-15 00:00:00-04:00,190.99,30.46,19.46,91.96
2020-06-16 00:00:00-04:00,197.84,31.33,19.35,90.43
2020-06-17 00:00:00-04:00,192.46,30.72,18.96,88.69
2020-06-18 00:00:00-04:00,192.17,30.81,18.58,88.37
2020-06-19 00:00:00-04:00,186.82,29.52,18.19,86.82
2020-06-22 00:00:00-04:00,188.41,29.31,17.77,83.29
2020-06-23 00:00:00-04:00,187.75,29.64,18.45,84.59
2020-06-24 00:00:00-04:00,176.79,27.35,16.93,75.21
2020-06-25 00:00:00-04:00,174.875,28.01,16.7,73.55
2020-06-26 00:00:00-04:00,169.93,26.94,15.7,69.05
2020-06-29 00:00:00-04:00,194.42,28.6,16.82,74.22
2020-06-30 00:00:00-04:00,183.07,28.04,16.81,74.49
2020-07-01 00:00:00-04:00,180.31,27.7,16.78,73.79
2020-07-02 00:00:00-04:00,180.76,27.72,16.86,77.34
